date,precio_promedio,cosecha_tons,embarques_tons,tipo_cambio,temp_min_c,temp_avg_c,temp_max_c,precipitation_mm,importaciones_kg,precio_importacion_usd,year,month,quarter,precio_lag1,precio_lag2,precio_lag3,precio_ma3,precio_ma6,precio_ma12,precio_std3,ratio_oferta_demanda,balance_oferta_demanda,precio_importacion_mxn,diferencial_precio_mx_us,temp_precip_interaction,precio_proximo_mes,precio_promedio_log,cosecha_tons_log,embarques_tons_log,importaciones_kg_log,precio_promedio_boxcox,tipo_cambio_boxcox,temp_avg_c_boxcox,temp_loca,temp_marcena,temp_normal,month_sin,month_cos
2017-10-01,38.055,,,,14.8,22.3,29.8,59.4,65462309.0,2.828278895570274,2017,10,4,,,,38.055,38.055,38.055,,,,,,1324.6200000000001,32.5,3.6649709090622604,0.0,0.0,17.996985115140614,1.2489255299700412,,2720.973387538734,False,False,False,-0.8660254037844386,0.5000000000000001
2017-11-01,32.5,,,,10.7,20.4,30.0,0.9,69112370.0,2.203476020284068,2017,11,4,38.055,,,35.2775,35.2775,35.2775,3.927978169491274,,,,,18.36,32.5,3.5115454388310208,0.0,0.0,18.051244303104607,1.2384916225776619,,2136.2250030471605,False,False,False,-0.5000000000000004,0.8660254037844384
2017-12-01,32.5,,,,9.6,18.3,27.0,19.8,82046400.0,2.5311617694377815,2017,12,4,32.5,38.055,,34.35166666666667,34.35166666666667,34.35166666666667,3.207180745348373,,,,,362.34000000000003,32.5,3.5115454388310208,0.0,0.0,18.222795511040477,1.2384916225776619,,1592.4017868560688,False,False,False,-2.4492935982947064e-16,1.0
2018-01-01,32.5,,,,8.0,17.3,26.5,14.8,93731957.0,2.1686025183492115,2018,1,1,32.5,32.5,38.055,32.5,33.88875,33.88875,0.0,,,,,256.04,32.5,3.5115454388310208,0.0,0.0,18.3559497562943,1.2384916225776619,,1368.7491369312413,False,False,True,0.49999999999999994,0.8660254037844387
2018-02-01,32.5,,,,11.0,19.7,28.5,16.2,80709833.0,2.205827919381273,2018,2,1,32.5,32.5,32.5,32.5,33.611000000000004,33.611000000000004,0.0,,,,,319.14,32.5,3.5115454388310208,0.0,0.0,18.206370984552063,1.2384916225776619,,1943.4053366122823,False,False,True,0.8660254037844386,0.5000000000000001
2018-03-01,32.5,,,,10.9,21.4,31.9,0.1,89194653.0,2.2602595695955,2018,3,1,32.5,32.5,32.5,32.5,33.42583333333334,33.42583333333334,0.0,,,,,2.14,33.002,3.5115454388310208,0.0,0.0,18.306331663018774,1.2384916225776619,,2432.5595080175244,False,False,True,1.0,6.123233995736766e-17
2018-04-01,33.002,,,,12.7,22.6,32.6,2.2,88208007.0,2.499132125272936,2018,4,2,32.5,32.5,32.5,32.66733333333333,32.583666666666666,33.36528571428572,0.28982983513319455,,,,,49.720000000000006,33.055,3.5264193464155373,0.0,0.0,18.295208310506318,1.2395564553453857,,2821.8086907472493,False,True,False,0.8660254037844387,-0.49999999999999983
2018-05-01,33.055,,,,16.4,25.0,33.6,57.7,75307487.0,2.302360016342067,2018,5,2,33.002,32.5,32.5,32.85233333333334,32.67616666666667,33.3265,0.30627819598093364,,,,,1442.5,33.055,3.5279768646932816,0.0,0.0,18.137090130057146,1.239667274211681,,3716.7326375599982,False,True,False,0.49999999999999994,-0.8660254037844387
2018-06-01,33.055,,,,17.4,24.2,31.0,201.4,67731105.0,2.21349313583471,2018,6,2,33.055,33.002,32.5,33.037333333333336,32.76866666666667,33.29633333333334,0.030599564267073515,,,,,4873.88,32.45,3.5279768646932816,0.0,0.0,18.03105610060154,1.239667274211681,,3400.61134983874,False,True,False,1.2246467991473532e-16,-1.0
2018-07-01,32.45,,,,16.3,23.5,30.7,147.8,55331193.0,2.426062022555704,2018,7,3,33.055,33.055,33.002,32.85333333333333,32.760333333333335,33.2117,0.3492969128597278,,,,,3473.3,31.39,3.5100517865742376,0.0,0.0,17.828847394254687,1.238384033851586,,3138.766191997645,True,False,False,-0.4999999999999998,-0.8660254037844388
